3,1.15292E+18
2,3858
3,3858
4,3858
5,3858
6,3858
7,3858
8,3858
9,3858
10,3858
11,3858
12,3858
13,3858
14,3858
15,3858
16,3858
17,3858
18,3858
19,3858
20,3858
21,3858
22,3858
23,3858
24,3858
25,3858
26,3858
27,3858
28,3858
29,3858
30,3858
31,3858
32,3858
33,3858
34,3858
35,3858
36,3858
37,3858
38,3858
39,3858
40,3858
41,3858
42,3858
43,3858
44,3858
45,3858
46,3858
47,3858
48,3858
49,3858
50,3858
51,3858
52,3858
53,3858
54,3858
55,3858
56,3858
57,3858
58,3858
59,3858
60,3858
